#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
896,8.589961e+01,-8.744973e-01,-2.779820e-01,-8.777502e-01,-1.403916e-02,-3.683721e-01,6.610276e-02,-2.677973e-01,5.602232e-01,-4.806959e-01,-7.624920e-01,4.583984e-01,3.433623e-02
897,8.426843e+01,-7.039086e-01,-1.264768e-01,-8.993130e-01,1.383524e-01,-4.737716e-01,4.175699e-01,-1.541311e-01,5.565685e-01,-5.152689e-01,-7.311211e-01,6.921060e-01,4.076621e-02
898,7.603950e+01,-7.799068e-01,-2.734621e-01,-9.317801e-01,8.536114e-02,-5.800460e-01,2.841717e-01,-1.303744e-01,5.435362e-01,-5.950051e-01,-6.883509e-01,6.769451e-01,4.194467e-02
899,8.674233e+01,-8.368719e-01,-2.709638e-01,-9.452451e-01,1.348836e-01,-6.948980e-01,1.742373e-01,-1.108478e-01,4.510447e-01,-6.145841e-01,-7.302876e-01,7.484697e-01,9.479773e-02
900,9.064657e+01,-9.457974e-01,-3.100909e-01,-9.940453e-01,-1.394165e-01,-5.863824e-01,1.158049e-01,-1.369803e-01,4.864015e-01,-6.073897e-01,-6.897793e-01,4.429201e-01,2.039637e-01
901,8.636973e+01,-7.184562e-01,-1.855271e-01,-7.788257e-01,8.376820e-02,-4.872332e-01,2.593657e-01,-2.865737e-01,6.542954e-01,-4.991353e-01,-6.900591e-01,6.829648e-01,-3.043072e-03
902,8.118393e+01,-8.501621e-01,-2.481642e-01,-8.791377e-01,-2.486950e-02,-6.133882e-01,3.643959e-01,-2.803513e-01,6.013351e-01,-3.377215e-01,-7.860864e-01,5.145429e-01,-5.141917e-02
903,8.702558e+01,-6.668605e-01,-3.136964e-01,-9.561361e-01,7.108680e-02,-5.580121e-01,4.985642e-01,-3.907064e-01,5.889323e-01,-2.790122e-01,-7.675435e-01,5.576975e-01,-9.976079e-03
904,8.431167e+01,-9.998135e-01,-3.526359e-01,-9.468323e-01,-1.811180e-01,-5.504003e-01,1.829718e-01,-2.194186e-01,5.454265e-01,-5.495683e-01,-6.859840e-01,4.634875e-01,9.915839e-02
905,7.825536e+01,-8.304601e-01,-2.873471e-01,-9.387749e-01,-7.491171e-02,-6.650166e-01,-7.543951e-02,-1.398528e-01,5.297145e-01,-5.151212e-01,-5.910732e-01,5.641655e-01,1.431791e-01
906,9.080380e+01,-8.190520e-01,-2.880193e-01,-8.410372e-01,2.384892e-02,-5.593779e-01,3.079142e-01,-2.812655e-01,4.332308e-01,-6.313442e-01,-7.143815e-01,5.736787e-01,2.386913e-02
907,8.512038e+01,-8.120972e-01,-2.878747e-01,-6.939511e-01,-2.903718e-02,-6.780011e-01,7.898355e-02,-1.329165e-01,6.035426e-01,-6.434569e-01,-5.524673e-01,5.644898e-01,1.605152e-01
908,8.981692e+01,-8.000656e-01,-2.628692e-01,-8.709625e-01,3.522774e-03,-6.461148e-01,3.029562e-01,-4.161182e-01,5.471281e-01,-4.394585e-01,-6.886927e-01,5.882468e-01,7.139456e-02
909,8.384445e+01,-7.530692e-01,-1.876399e-01,-9.209911e-01,2.550986e-02,-4.566571e-01,2.966557e-01,-2.381933e-01,5.307284e-01,-6.203434e-01,-7.552071e-01,6.323133e-01,-6.588621e-02
910,8.642642e+01,-8.047740e-01,-2.163664e-01,-9.231955e-01,-4.618647e-02,-4.417495e-01,2.731960e-01,-2.048824e-01,5.007215e-01,-6.126345e-01,-6.272246e-01,5.059010e-01,7.881200e-02
